date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,121.0,819.0,27249.0,781256.18,970.0559999999999,1419098.68,0.0,0.0,0.0,143413.68,,,,,781256.18,970.0559999999999
2022-03-07,728.0,728.0,55585.0,802326.29,1020.889,1524.0,2381.0,901.0,1480.0,2527.0,727.0,1.0,1070507.47,0.0,1943397.0,99.0,99.0,263.0,971.0,63284.0,674934.05,819.677,1197682.72,16771.6,0.0,0.0,135413.78,,,,,-127392.23999999999,-201.212
2022-03-08,758.0,758.0,105281.0,793613.72,991.828,1561.0,2570.0,939.0,1631.0,2736.0,742.0,1.0,1163011.76,0.0,2366027.0,129.0,125.0,268.0,903.0,68063.0,551684.12,668.299,997133.82,12809.86,248.0,0.0,93176.56,,,,,-241929.59999999998,-323.529
2022-03-09,679.0,679.0,57776.0,699774.38,842.43,1416.0,2486.0,758.0,1728.0,3095.0,697.0,1.0,1242932.79,0.0,2715307.0,115.0,115.0,324.0,1075.0,62618.0,614772.52,751.1469999999999,1124324.76,14442.66,0.0,0.0,90777.62,,,,,-85001.85999999999,-91.28300000000002
2022-03-10,677.0,677.0,48743.0,730303.4299999999,930.836,1422.0,2335.0,808.0,1527.0,2515.0,670.0,1.0,900194.97,0.0,1942975.0,127.0,127.0,306.0,815.0,25282.0,424892.01,499.132,775346.42,7137.96,79.86,0.0,67219.78,,,,,-305411.4199999999,-431.704
2022-03-11,776.0,776.0,95744.0,803965.83,1002.506,1632.0,2733.0,988.0,1745.0,3003.0,814.0,1.0,1252466.63,0.0,2541945.0,122.0,122.0,360.0,1215.0,70112.0,776041.79,947.193,1408566.2,36538.18,0.08,0.0,106979.12,,,,,-27924.03999999992,-55.31299999999999
2022-03-12,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,86.0,682.0,20776.0,663567.82,839.007,1272971.56,0.0,0.0,0.0,54164.08,,,,,663567.82,839.007
2022-03-14,724.0,724.0,73606.0,847728.66,1065.445,1562.0,2565.0,939.0,1626.0,2707.0,679.0,1.0,1097349.52,0.0,2379464.0,92.0,92.0,187.0,883.0,21056.0,520784.84,660.324,953824.46,5731.1,0.0,0.0,82014.12,,,,,-326943.82,-405.121
2022-03-15,717.0,717.0,69869.0,725190.53,869.958,1457.0,2562.0,812.0,1750.0,2974.0,704.0,1.0,1163084.49,0.0,2664776.0,131.0,130.0,417.0,1222.0,54352.0,666821.22,834.885,1160513.4,16781.54,0.0,0.0,156357.46,,,,,-58369.310000000056,-35.07299999999998
