date,receipts_lines,receipts_brutto_kg,receipts_netto_kg,receipts_qty,receipts_cbm,receipts_consumables_kg,receipts_equipment_kg,receipts_other_kg,receipts_docs,receipts_aviza,receipts_unloads,receipts_articles,receipts_suppliers,receipts_countries
2022-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-19,629.0,586670.46,0.0,20902.0,707.6809999999999,586670.46,0.0,0.0,12.0,12.0,12.0,98.0,1.0,1.0
2022-06-20,906.0,635633.99,0.0,28782.0,779.3969999999999,630639.87,3249.76,1744.36,96.0,96.0,32.0,213.0,10.0,7.0
2022-06-21,820.0,511583.58999999997,0.0,62035.0,610.198,500819.67,8755.74,2008.18,96.0,96.0,49.0,203.0,20.0,12.0
2022-06-22,952.0,563472.74,0.0,27915.0,685.082,556934.46,3346.35,3191.93,101.0,101.0,53.0,343.0,33.0,14.0
2022-06-23,671.0,469931.89999999997,0.0,44193.0,490.93,458378.8,6765.74,4787.36,97.0,97.0,55.0,197.0,17.0,9.0
2022-06-24,933.0,614814.3,0.0,37298.0,712.726,608254.46,2845.14,3714.7,97.0,96.0,48.0,270.0,16.0,8.0
2022-06-25,141.0,111461.39,0.0,4906.0,148.256,111461.39,0.0,0.0,3.0,3.0,3.0,53.0,1.0,1.0
2022-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-27,812.0,459768.77999999997,0.0,29550.0,623.951,454657.67,2958.95,2152.16,119.0,119.0,70.0,225.0,29.0,12.0
2022-06-28,462.0,154336.22,0.0,32150.0,165.302,143720.73,5798.54,4816.95,109.0,109.0,54.0,210.0,29.0,16.0
2022-06-29,395.0,173865.48,0.0,43998.0,146.635,167323.94,2723.13,3818.41,108.0,108.0,44.0,149.0,23.0,13.0
2022-06-30,407.0,184157.07,0.0,16036.0,148.348,180454.35,2983.82,718.9,100.0,98.0,54.0,150.0,15.0,9.0
2022-07-01,597.0,223838.83,0.0,40024.0,184.625,214878.17,3282.16,5678.5,96.0,96.0,60.0,211.0,15.0,7.0
2022-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,314.0,304931.12,0.0,9264.0,373.231,304931.12,0.0,0.0,7.0,7.0,6.0,56.0,1.0,1.0
2022-07-04,743.0,372148.24,0.0,61962.0,460.733,362300.38,4854.46,4993.4,97.0,96.0,43.0,286.0,11.0,8.0
2022-07-05,718.0,666305.36,0.0,24624.0,842.81,666305.36,0.0,0.0,17.0,17.0,16.0,102.0,4.0,4.0
2022-07-06,742.0,496469.55,0.0,15506.0,603.309,492134.6,2681.86,1653.09,63.0,63.0,15.0,160.0,4.0,3.0
2022-07-07,1341.0,661100.22,0.0,84570.0,782.42,628563.0,10525.75,22011.47,196.0,195.0,90.0,458.0,26.0,11.0
2022-07-08,911.0,592951.79,0.0,38930.0,750.442,584096.32,4505.84,4349.63,110.0,110.0,73.0,277.0,16.0,8.0
2022-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-10,837.0,735519.9,0.0,21460.0,969.4309999999999,735519.9,0.0,0.0,16.0,16.0,15.0,124.0,1.0,1.0
2022-07-11,835.0,444887.52,0.0,34047.0,543.314,435197.01,3477.18,6213.33,129.0,129.0,69.0,266.0,37.0,14.0
2022-07-12,1086.0,593217.54,0.0,61635.0,707.191,578760.84,8444.630000000001,6012.07,115.0,115.0,83.0,431.0,30.0,11.0
2022-07-13,1085.0,767016.3,0.0,30755.0,933.168,759219.6799999999,2931.42,4865.2,131.0,126.0,83.0,292.0,18.0,9.0
2022-07-14,864.0,626864.76,0.0,37661.0,706.038,621602.5599999999,2579.91,2682.29,95.0,95.0,52.0,210.0,17.0,10.0
2022-07-15,439.0,228300.19999999998,0.0,48950.0,255.411,217163.62,2701.36,8435.22,27.0,27.0,24.0,194.0,16.0,9.0
