date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-03-10,2022,10,4,2882,1156.67125,461,1578,0,1718.0,1164.0,63.0,5.0,674.0,731.20617,424892.01,127.0,670.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-03-11,2022,10,5,2849,1220.04831,476,1609,0,1741.0,1108.0,72.0,7.0,769.0,803.16134,776041.79,122.0,814.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-03-12,2022,10,6,470,220.64268,5,354,0,0.0,470.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-03-13,2022,10,7,244,192.395,0,228,0,0.0,244.0,,,,,663567.82,13.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-03-14,2022,11,1,2185,847.33008,423,1203,0,1439.0,746.0,66.0,6.0,719.0,848.879,520784.84,92.0,679.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-03-15,2022,11,2,2631,921.83273,515,1353,0,1792.0,839.0,63.0,5.0,713.0,730.32545,666821.22,131.0,704.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-03-16,2022,11,3,2736,1167.57305,414,1499,0,1623.0,1113.0,67.0,7.0,664.0,781.40163,712110.11,140.0,688.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-03-17,2022,11,4,2733,1000.65331,511,1465,0,1804.0,929.0,67.0,5.0,583.0,600.0525,602095.61,126.0,570.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-03-18,2022,11,5,2956,1017.93442,483,1514,0,1989.0,967.0,59.0,6.0,787.0,586.35409,395802.88,172.0,834.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-03-19,2022,11,6,452,284.57998,6,388,0,0.0,452.0,,,,,215800.83,5.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-03-20,2022,11,7,12,4.37556,0,12,0,0.0,12.0,,,,,707047.9,14.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-03-21,2022,12,1,2811,1163.44416,470,1479,0,2040.0,771.0,68.0,10.0,900.0,1091.96169,619110.01,108.0,859.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
