date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-05-17,Sunday,0.0,0.0,0.0,660.5581248803653,65.85186601406244,7.211137614172596,805.50325307124,379603.6694251822,53.647738013594974,429.1819041087598,37.0,37,24,0,3,0,34,3,34,0,37,54,54,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,11,0,0,0,23,0,0
2026-05-18,Monday,1486.6627505579697,547.5526441230478,2034.2153946810176,637.3171676388117,59.57406949369925,7.54373780658876,775.066549441818,438637.0661682114,56.283306955780326,450.2664556462426,40.0,40,0,8,0,21,11,8,32,29,11,56,57,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,20,10,0,0
2026-05-19,Tuesday,1638.9231578447702,743.8524119547059,2382.775569799476,661.3640149068185,58.693860938795154,7.376268703173902,748.4773266036615,420003.5267548057,54.073952232572275,432.5916178605782,39.0,39,0,9,0,20,10,9,30,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,2,1,0,0,18,9,0,0
2026-05-20,Wednesday,1655.4506728336016,750.3535529364958,2405.804225770097,644.1678733796869,60.848083397541345,7.211841803568455,740.615258922912,409124.7743032386,55.34037973250854,442.7230378600683,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-05-21,Thursday,1563.330568625762,686.8782093443883,2250.2087779701505,652.5862203703091,62.66271283610278,7.245207504418678,741.419025720746,444804.34047051927,55.765573584109184,446.1245886728735,40.0,40,0,8,0,20,12,8,32,28,12,56,56,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,3,0,0,19,9,0,0
2026-05-22,Friday,1459.6730911056798,582.9911387564493,2042.664229862129,634.4800940496648,67.17439325922658,7.690689201474963,857.0351221202739,336202.7848807403,55.84372285399197,446.74978283193576,39.0,39,0,5,0,22,12,5,34,27,12,56,56,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,0,1,0,0,22,11,0,0
2026-05-23,Saturday,0.0,78.07842969278309,78.07842969278309,647.2131403989572,65.20980911402239,7.594571268342959,814.1079193362817,51428.85971640546,53.85000018136609,430.80000145092873,36.0,36,34,0,0,0,36,0,36,0,36,54,54,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2026-05-24,Sunday,0.0,0.0,0.0,657.4225666843611,66.98385997843349,7.203824177720538,828.8100053456434,372266.2316908839,53.763741221175366,430.1099297694029,37.0,37,24,0,3,0,34,3,34,0,37,54,54,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,11,0,0,0,23,0,0
2026-05-25,Monday,1471.3692554443815,533.2449514817829,2004.6142069261643,637.2659770366097,60.79844623000541,7.529141469173744,799.6907771712923,430150.4250398401,56.08043137171562,448.64345097372495,40.0,40,0,8,0,21,11,8,32,29,11,56,57,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,20,10,0,0
2026-05-26,Tuesday,1616.6098134068789,722.3834562445821,2338.993269651461,658.5316959918432,59.99240093475599,7.416772552307718,775.7555962759569,409373.589754946,54.34134229319765,434.7307383455812,39.0,39,0,8,0,21,10,8,31,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-05-27,Wednesday,1628.6849202045744,727.6274731926113,2356.3123933971856,645.4351617947191,62.2351583844754,7.27730603284695,771.1699901648079,396491.5915297621,55.27453551400217,442.19628411201734,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-05-28,Thursday,1533.2354763317337,664.5522057470282,2197.787682078762,649.777501101099,64.05994638449111,7.328126899081916,774.6077293169142,429839.14557561366,55.68959487296728,445.5167589837382,40.0,40,0,9,0,20,11,9,31,29,11,56,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,2,0,0,19,9,0,0
2026-05-29,Friday,1432.5191657589403,556.8677941180107,1989.386959876951,641.1303157901904,68.63487764145334,7.547549503322237,891.1276156913201,320919.0259528322,55.47002874795457,443.7602299836366,38.0,38,0,4,0,19,15,4,34,23,15,55,56,baseline,manual_or_suggested_history,3,0,0,0,1,0,0,0,0,4,0,0,19,11,0,0
2026-05-30,Saturday,0.0,53.54036042213788,53.54036042213788,646.1355980571975,66.72298360942554,7.542145879504286,849.4636612380723,39401.08724817114,54.07895961185769,432.6316768948615,36.0,36,34,0,0,0,36,0,36,0,36,54,55,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2026-05-31,Sunday,0.0,0.0,0.0,656.1277786944452,66.16584951062997,7.269569064508529,839.9099548734941,319070.40484976204,54.08302674603706,432.6642139682965,37.0,37,24,0,3,0,34,3,34,0,37,54,55,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,11,0,0,0,23,0,0
2026-06-01,Monday,1256.3169245283107,430.00985336933974,1686.3267778976503,639.0485183691852,58.39793900403764,7.516674475305697,775.2029365271518,374120.96527958394,55.92669610513747,447.41356884109973,40.0,40,0,8,0,21,11,8,32,29,11,56,56,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,20,10,0,0
2026-06-02,Tuesday,1601.8101969842467,715.8470720618939,2317.6572690461408,655.8016672430483,58.94235989875911,7.438554077709839,754.8556731208402,411253.1576174999,54.523472090463365,436.1877767237069,39.0,39,0,8,0,21,10,8,31,29,10,55,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-06-03,Wednesday,1665.8656490587032,765.2815765336068,2431.14722559231,646.7497440602525,60.976623646805564,7.2731336588835775,746.7753824678433,389290.95761872677,55.08211570818375,440.65692566547,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-06-04,Thursday,1587.3574915038134,718.8290268574059,2306.1865183612194,648.4890022249633,62.79446558858166,7.345612667524243,747.2678965320157,428037.7099514726,55.51816674997201,444.1453339997761,40.0,40,0,9,0,20,11,9,31,29,11,56,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,2,0,0,19,9,0,0
2026-06-05,Friday,1501.7955979972417,619.0881171655587,2120.8837151628004,642.7645968346008,67.04926238424993,7.528260268244045,857.8999752434137,336442.36357531446,55.31347896637175,442.507831730974,38.0,38,0,4,0,19,15,4,34,23,15,55,56,baseline,manual_or_suggested_history,3,0,0,0,1,0,0,0,0,4,0,0,19,11,0,0
2026-06-06,Saturday,0.0,131.94868288186362,131.94868288186362,646.1442296718017,64.91190382345971,7.507020477029222,810.3758805730636,42179.36663255827,54.3476882232615,434.781505786092,36.0,36,34,0,0,0,36,0,36,0,36,54,55,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2026-06-07,Sunday,0.0,0.0,0.0,654.5382668997169,66.68794621073002,7.31290325705036,824.8855063061177,372095.23781747214,54.362200251917294,434.89760201533835,37.0,37,24,0,2,0,35,2,35,0,37,54,55,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,11,0,0,0,24,0,0
